code,date
601678,2017-07-18
601678,2019-01-23
601678,2019-03-11
601678,2019-03-29
601678,2019-12-30
601678,2020-01-16
601678,2021-03-03
601678,2021-04-28
601678,2021-08-24
601678,2022-08-22
601678,2023-02-09
601678,2023-02-20
601688,2010-08-06
601688,2014-08-11
601688,2016-11-11
601688,2017-07-26
601688,2018-01-16
601688,2019-01-24
601688,2019-02-18
601688,2019-12-26
601688,2020-07-01
601688,2021-12-21
601688,2022-06-23
601688,2023-04-17
601688,2024-02-29
601689,2015-11-16
601689,2017-01-09
601689,2019-11-07
601689,2019-11-19
601689,2021-10-25
601689,2022-07-01
601689,2022-07-27
601689,2023-06-02
601689,2023-06-29
601696,2023-05-17
601696,2023-08-15
601696,2023-08-16
601698,2019-09-19
601698,2020-04-20
601698,2021-04-21
601698,2023-02-09
601698,2023-03-23
601698,2023-07-04
601698,2023-10-23
601698,2024-03-08
601699,2007-02-01
601699,2008-01-18
601699,2009-03-31
601699,2009-07-08
601699,2009-07-14
601699,2009-07-31
601699,2009-10-28
601699,2010-11-01
601699,2011-02-24
601699,2011-04-13
601699,2012-03-08
601699,2012-04-25
601699,2014-05-21
601699,2014-08-13
601699,2016-10-18
601699,2016-10-24
601699,2016-11-22
601699,2017-02-08
601699,2017-02-10
601699,2017-02-20
601699,2017-07-18
601699,2017-12-06
601699,2019-02-22
601699,2019-12-24
601699,2020-07-20
601699,2021-03-11
601699,2021-04-15
601699,2022-02-28
601699,2023-11-23
601699,2024-02-07
601699,2024-02-19
601700,2015-11-13
601700,2017-09-28
601700,2018-11-21
601700,2019-09-03
601700,2019-09-04
601700,2020-03-13
601700,2021-03-26
601700,2021-09-22
601700,2022-12-01
601700,2023-11-17
601700,2023-11-23
601702,2021-04-22
601702,2021-04-29
601702,2022-06-10
601702,2022-06-17
601717,2011-02-16
601717,2012-02-09
601717,2013-01-14
601717,2013-08-26
601717,2013-08-28
601717,2015-03-23
601717,2015-04-10
601717,2016-10-18
601717,2016-12-01
601717,2018-09-28
601717,2019-12-13
601717,2020-01-20
601717,2020-06-16
601717,2020-07-02
601717,2022-06-10
601717,2022-07-18
601717,2024-02-29
601718,2011-07-08
601718,2012-05-07
601718,2013-11-27
601718,2013-12-04
601718,2014-02-24
601718,2014-07-11
601718,2014-07-28
601718,2015-06-02
601718,2016-07-26
601718,2016-12-15
601718,2022-12-02
601718,2023-02-09
601718,2023-05-17
601718,2023-05-19
601718,2024-02-29
601727,2009-05-18
601727,2009-07-20
601727,2011-02-21
601727,2013-01-14
601727,2013-01-18
601727,2013-03-21
601727,2014-08-04
601727,2014-12-18
601727,2019-02-22
601727,2019-03-11
601727,2020-12-07
601727,2022-07-18
601727,2022-07-20
601727,2023-02-09
601728,2022-12-12
601728,2023-02-09
601728,2024-02-19
601766,2009-11-25
601766,2010-10-25
601766,2012-03-02
601766,2012-11-19
601766,2013-08-12
601766,2013-11-11
601766,2015-04-24
601766,2017-04-05
601766,2018-08-07
601766,2018-10-10
601766,2022-11-18
601766,2023-02-20
601766,2023-04-20
601777,2013-01-14
601777,2013-01-18
601777,2013-05-27
601777,2013-06-06
601777,2014-03-17
601777,2014-03-21
601777,2014-06-13
601777,2015-04-10
601777,2015-04-16
601777,2016-06-27
